"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"712","LubSwiat","1740","56837","167","782","265","0"
"713","DunKwal","1741","17902","46","303","43","152"
"714","JewPriv_II_Fram","1741","354","1","1","1","0"
"715","UrfeRubJanAwan","1741","30087","457","769","457","15"
"716","BystrzInfArch","1743","11413","12","173","14","3"
"717","BystrzInfArchW","1743","8034","22","111","10","8"
"718","BystrzInfArtyl","1743","5408","26","87","8","15"
"719","BystrzInfAstrol","1743","10246","10","188","178","28"
"720","BystrzInfAstron","1743","12497","32","286","47","73"
"721","BystrzInfChron","1743","6217","7","129","50","12"
"722","BystrzInfCosm","1743","27560","46","586","166","96"
"723","BystrzInfElem","1743","9816","18","239","15","47"
"724","BystrzInfGeogr","1743","29987","47","404","61","79"
"725","BystrzInfHydr","1743","6078","12","105","16","29"
"726","BystrzInfPolem","1743","2886","9","64","5","3"
"727","BystrzInfRozn","1743","7180","20","96","20","13"
"728","BystrzInfStat","1743","3831","2","69","3","3"
"729","BystrzInfTak","1743","3243","13","51","5","2"
"730","BystrzInfZup","1743","10474","16","146","43","48"
"731","HumListRzecz","1743","408","2","6","4","0"
"732","InsGor_3","1743","43255","97","802","143","3"
"733","RadzKwest","1743","22976","55","449","323","8"
"734","DunCiek","1744","5182","3","80","4","31"
"735","ChmielAteny_I","1745","272493","970","3534","2101","173"
"736","DanOstSwada","1745","25942","72","311","182","12"
"737","UmFenRzezGeb","1745","947","0","13","0","4"
"738","WypARzewGeb","1745","1919","0","1","0","0"
"739","ChmielAteny_II","1746","206909","794","2222","985","70"
"740","JawJon","1746","14110","12","228","86","1"
"741","InwChelm","1747","76320","40","256","57","5"
"742","Wysocki+rozancowa","1747","5908","6","67","41","0"
"743","Brzezinski+pocieszenia","1748","3269","12","70","24","7"
"744","ZamLaszGeb","1748","17930","16","33","2","0"
"745","BeimJelMed","1749","23854","190","419","47","22"
"746","DembowPunktBar_II","1749","1869","5","46","15","0"
"747","JablJHistBar_II","1749","1591","8","28","16","1"
"748","NotAk","1749","4352","9","67","8","4"
"749","WypKRzewGeb","1749","445","0","1","0","0"
"750","ZdzanElem","1749","7174","23","189","31","1"
"751","HylInf","1750","24854","229","478","142","3"
"752","KsKasUl_3","1750","18096","90","350","71","4"
"753","KsPtaszUl_3","1750","2284","6","38","5","0"
"754","RozPasOkon","1750","1751","0","42","0","0"
"755","KarpRady","1751","263","0","5","1","0"
"756","SkorKotLechBar_II","1751","915","2","23","9","0"
"757","CorMorszACyd","1752","14885","36","345","106","4"
"758","DruzZbior","1752","83507","199","1389","526","13"
"759","GarczAnat","1753","31410","68","557","317","9"
"760","Murczynski+Exorta","1753","1494","3","16","18","0"
"761","ChmielAteny_III","1754","203125","857","2751","930","441"
"762","GelPrzyp","1754","41566","162","1081","440","10"
"763","KsJasUl_3","1754","2863","14","43","11","0"
"764","ChmielAteny_IV","1756","192628","796","2342","725","387"
"765","InwKatLwowGeb","1756","1342","3","3","1","0"
"766","KepMysliBar_II","1756","974","0","19","9","8"
"767","KronZakBaracz","1756","9288","33","117","28","1"
"768","RadziwHDiar","1756","84759","745","1318","580","4"
"769","KsKlim","1762","23441","160","368","123","70"
"770","Szczepanowski+nawiedzenie","1762","2525","4","40","9","23"
"771","CycNagMowy","1763","20042","30","457","273","24"
"772","KonSSpos","1763","46066","54","989","547","22"
"773","LubHist","1763","54169","382","764","186","3"
"774","29_GazWil","1765","2607","10","32","8","11"
"775","31_GazWil","1765","2535","6","46","9","5"
"776","6_GazWil","1765","2898","5","46","6","6"
"777","MatDiar","1765","238353","1386","4057","2321","180"
"778","13_GazWil","1766","2626","5","46","11","15"
"779","24_GazWil","1766","2522","10","31","8","5"
"780","BohFStar","1766","11673","17","211","146","12"
"781","1_GazWil","1767","2446","8","36","14","19"
"782","21_GazWil","1767","2300","10","27","10","2"
"783","42_GazWil","1767","2161","7","33","9","8"
"784","ChesMinFilozof","1767","11001","20","260","46","19"
"785","KsKasUl_4","1767","7701","43","142","67","2"
"786","KsPtaszUl_4","1767","4245","37","83","12","4"
"787","CoqMinNic","1769","8746","14","210","63","10"
"788","DuhMalSpos","1769","13393","17","420","173","5"
"789","KryszStat","1769","31344","91","658","206","16"
"790","BohJProg_II","1770","44072","171","866","23","179"
"791","BohProg_I_Wstep","1770","8723","24","277","15","55"
"792","BrohJProg_I","1770","32801","95","865","72","345"
"793","16_GazWil","1771","2123","4","44","6","16"
"794","37_GazWil","1771","2069","1","46","2","29"
"795","48_GazWil","1771","2100","3","28","5","15"
"796","JewPriv_II_Szczucin","1771","631","0","9","3","1"
"797","KsKrowUl_4","1771","10575","45","161","89","20"
"798","WolfTrakt","1771","7713","25","202","82","6"
"799","DworMlynGeb","1772","765","0","1","0","0"
"800","Monitor","1772","15040","30","379","33","167"
"801","PiotrKaz","1772","15318","32","264","102","15"
"802","PiramKaz","1772","4064","4","63","16","6"
"803","SzybAtlas","1772","41330","52","783","53","40"
"804","Nerezjusz+Ofiarowanie","1774","3660","5","105","9","7"
"805","InwKal_II","1775","119267","77","836","72","2"
"806","KrasickiAntymonachomachia","1780","5133","5","182","19","9"
"807","KarpPowrot","1784","609","1","9","6","0"
"808","KrajewskiWoyciechZdarzynski","1785","30310","140","779","111","345"
"809","NiemcewiczPowrotPosla","1790","11487","21","296","101","1"
"810","StaszicPrzestrogi","1790","46026","45","862","249","96"
"811","HoffmanDziennik","1796","38517","71","828","442","51"
"812","MickiewiczLilie","1820","1470","1","25","3","1"
"813","MickiewiczOdaDoMlodosci","1820","368","1","6","0","0"
"814","MickiewiczPiesnFilaretow","1820","223","0","4","0","0"
"815","MickiewiczDoLelewela","1822","1532","3","21","6","0"
"816","MickiewiczPowrotTaty","1822","449","1","7","1","0"
"817","MickiewiczRomantycznosc","1822","366","0","9","1","0"
"818","MickiewiczSwitez","1822","1008","2","20","7","0"
"819","MickiewiczSwitezianka","1822","769","3","18","0","0"
"820","MickiewiczTwardowska","1822","578","1","9","0","0"
"821","MickiewiczDziady_I","1823","2893","2","45","10","1"
"822","MickiewiczGrazyna","1823","7116","14","117","35","9"
"823","MalczewskiMaria","1825","10660","26","227","37","1"
"824","Hoffmanowa_dziennik","1826","20058","39","466","226","25"
"825","MickiewiczSonetyKrymskie","1826","1847","4","43","3","0"
"826","MickiewiczSonetyOdeskie","1826","4185","8","71","23","0"
"827","AntoniewiczBielany","1828","1297","4","34","1","0"
"828","GoszczynskiZamekKaniowski","1828","16392","18","418","77","0"
"829","MickiewiczWallenrod","1828","11995","31","217","51","0"
"830","MickiewiczAlpy","1829","228","1","8","3","0"
"831","1830-50_KrasinskiListy","1830","249897","210","5943","2944","50"
"832","SuchodolskiSpiewRewolucyjny","1831","158","8","1","2","0"
"833","SuchodolskiTrzeciMaj","1831","75","0","0","0","0"
"834","KrasinskiResurrecturis","1832","667","1","14","1","0"
"835","MickiewiczKsiegiNarodu","1832","12961","15","333","32","102"
"836","MickiewiczReduta","1832","846","1","19","2","0"
"837","MickiewiczDoSzymanowskiej","1834","78","0","2","0","0"
"838","MickiewiczPanTadeusz","1834","68199","252","1497","555","29"
"839","KrasinskiNieBoskaKomedia","1835","15855","4","379","61","2"
"840","RozyckiWyprawaJeneralaDwernickiego","1837","18864","63","344","264","30"
"841","SkalkowskiBartoszu","1837","114","0","0","1","0"
"842","RzewuskiPamiatki","1839","75629","339","2016","1085","83"
"843","BielowskiZaNiemen","1840","181","0","1","1","0"
"844","GoszczynskiKrolZamczyska","1842","30180","30","700","279","6"
"845","Goszczynski_krol","1842","28088","30","701","280","6"
"846","Fredro_Trzy","1846","49135","139","1207","435","5"
"847","ZmichowskaPoganka","1846","36685","32","830","348","12"
"848","kraszewski_kordecki","1850","97164","304","3087","682","15"
"849","korzeniowski_emeryt","1851","87451","389","2553","1062","28"
"850","korzeniowski_emeryt","1851","79144","389","2553","1062","28"
"851","kaczkowski_murdelio","1853","131055","606","3329","1408","45"
"852","korzeniowski_garbaty","1853","98309","501","2738","1324","14"
"853","KraszewskiDjabel","1855","123942","441","3884","1031","10"
"854","korzeniowski_krewni","1856","61509","259","1659","832","28"
"855","kaczkowski_grob","1857","193086","534","5076","1696","36"
"856","kaczkowski_grob","1857","175779","534","5076","1696","36"
"857","balucki_przebudzeni","1864","49070","59","1540","407","1"
"858","marrene_bozek","1871","50661","49","1377","386","47"
"859","marrene_bozek","1871","47330","49","1377","385","47"
"860","marrene_roza","1872","64837","65","1773","613","81"
"861","kraszewski_lalki","1874","50364","162","1808","446","126"
"862","balucki_murzyn","1875","66054","127","2008","897","19"
"863","marrene_mezowie","1875","69608","92","1878","345","311"
"864","deotyma_rozdrozu","1877","79594","148","2261","1019","17"
"865","deotyma_rozdrozu","1877","74676","148","2261","1004","17"
"866","orzeszkowa_meir","1878","97497","115","2324","476","67"
"867","deotyma_zagadka","1879","45681","89","1156","549","1"
"868","deotyma_zagadka","1879","42816","89","1156","549","1"
"869","dygasinski_wilk","1883","15387","16","430","86","30"
"870","dygasinski_wilk","1883","14323","16","430","86","30"
"871","sienkiewicz_ogniem","1884","173233","477","4552","1532","173"
"872","sygietynski_calvados","1884","47501","291","1400","232","1"
"873","sygietynski_calvados","1884","43199","291","1399","232","0"
"874","balucki_burmistrz","1887","32595","46","909","452","12"
"875","rodziewicz_straszny","1887","32472","25","889","130","0"
"876","kraszewski_piast","1888","75370","175","2633","625","145"
"877","orzeszkowa_niemnem","1888","164774","257","3985","1326","9"
"878","swietochowski_prawdy","1888","22604","62","527","280","4"
"879","swietochowski_prawdy","1888","21365","62","527","280","4"
"880","zapolska_kaska","1888","100459","212","3019","575","7"
"881","zapolska_kaska","1888","91853","212","3019","575","7"
"882","kaczkowski_olbrachtowi","1889","265124","617","7247","2709","31"
"883","dygasinski_piszczalski","1890","86523","78","2125","611","52"
"884","prus_lalka","1890","248599","545","6870","3293","20"
"885","prus_lalka","1890","230247","545","6867","3293","20"
"886","rodziewicz_miedzy","1890","54992","37","1595","284","3"
"887","sygietynski_wysadzony","1891","54683","104","1410","322","52"
"888","deotyma_panienka","1893","68829","136","1595","535","3"
"889","prus_emancypantki","1894","249762","572","7000","3462","56"
"890","sienkiewicz_rodzina","1894","212098","619","5726","3938","165"
"891","dygasinski_as","1896","40665","76","1062","355","40"
"892","reymont_komediantka","1896","83606","77","2422","1009","19"
"893","reymont_komediantka","1896","76237","77","2422","1009","19"
"894","sienkiewicz_quo","1896","168368","670","4282","2271","168"
"895","beczkowska_bedzie","1897","35609","48","1160","337","10"
"896","godlewska_kato","1897","90078","135","2377","1247","10"
"897","godlewska_kwiat","1897","24431","48","613","241","2"
"898","godlewska_kwiat","1897","22348","48","613","241","2"
"899","godlewska_ninka","1897","14786","15","429","96","0"
"900","prus_faraon","1897","193855","345","4983","2103","21"
"901","zeromski_syzyfowe","1897","62185","101","1419","397","0"
"902","beczkowska_droga","1898","82957","115","2747","799","17"
"903","beczkowska_droga","1898","77203","115","2746","799","17"
"904","beczkowska_gniezdzie","1899","47078","84","1600","418","14"
"905","reymont_obiecana","1899","171405","132","4847","1516","20"
"906","zeromski_bezdomni","1899","98459","76","2566","770","3"
"907","berent_prochno","1903","75271","101","2454","373","7"
"908","dmochowska_dwor","1903","132873","122","3733","1174","35"
"909","dmochowska_dwor","1903","119495","122","3733","1174","35"
"910","zulawski_srebrnym","1903","59402","137","1793","680","13"
"911","krzemieniecka_fatum","1904","38133","58","1267","175","16"
"912","zapolska_tagiejew","1905","89474","120","2903","635","148"
"913","nalkowska_kobiety","1906","41387","16","1075","426","4"
"914","dmochowska_obraczka","1907","58742","34","1683","677","29"
"915","reymont_chlopi","1908","305878","426","10642","3604","150"
"916","mniszek_tredowata","1909","162863","114","3822","1214","1"
"917","domanska_paziowie","1910","40694","81","1090","279","7"
"918","krzemieniecka_odejdzie","1910","54131","108","1620","313","29"
"919","krzemieniecka_odejdzie","1910","49660","108","1620","312","29"
"920","mniszek_ordynat","1910","48667","25","1362","345","1"
"921","orzeszkowa_gloria","1910","102981","134","2370","794","7"
"922","zulawski_zwyciezca","1910","82100","261","2180","820","67"
"923","zulawski_zwyciezca","1910","75360","261","2180","820","67"
"924","zapolska_smierc","1911","19581","35","592","148","24"
"925","domanska_historia","1913","53494","66","1522","322","1"
"926","Domanska_Krysia","1914","29375","62","824","223","6"
"927","dmochowska_odlamana","1914","50559","35","1457","444","29"
"928","domanska_krysia","1914","31734","62","822","220","6"
"929","mniszek_gehenna","1914","171237","160","3999","1381","7"
"930","mniszek_gehenna","1914","158960","160","3999","1381","7"
"931","swietochowski_drygalowie","1914","44391","91","1054","505","3"
"932","zulawski_laus","1914","61664","125","1724","686","21"
"933","makuszynski_drodze","1917","53582","113","1280","559","1"
"934","Berent_zywe","1918","75851","140","2485","416","13"
"935","berent_kamienie","1918","78009","134","2368","414","13"
"936","berent_kamienie","1918","70239","134","2368","414","13"
"937","sygietynski_ogien","1918","40674","37","1064","77","150"
"938","rodziewicz_lato","1920","44805","27","1387","218","0"
"939","samozwaniec_ustach","1922","14236","41","356","55","1"
"940","samozwaniec_ustach","1922","13001","41","356","55","1"
"941","Korczak_Krol","1923","62345","17","1917","1077","0"
"942","krzemieniecka_wichry","1923","75740","141","2471","510","120"
"943","krzemieniecka_wichry","1923","69471","141","2471","510","120"
"944","nalkowska_romans","1923","45106","26","1238","458","5"
"945","Grabinski_Salamandra","1924","28259","90","808","157","0"
"946","zeromski_przedwiosnie","1924","81983","86","1851","387","134"
"947","Zurakowska_Skarby","1925","28492","86","939","286","19"
"948","kossak_zmilosci","1925","35631","68","817","222","25"
"949","kossak_zmilosci","1925","33023","68","817","222","25"
"950","Witkiewicz_Pozegnanie","1927","86766","93","2370","670","2"
"951","zarzycka_dzikuska","1927","34011","51","848","268","1"
"952","zarzycka_dzikuska","1927","31472","51","848","268","1"
"953","kuncewiczowa_twarz","1928","13257","20","279","79","0"
"954","dabrowska_nocednie1","1931","76599","149","2468","1154","0"
"955","zarzycka_irka","1931","15051","12","296","115","1"
"956","dabrowska_nocednie2","1932","71289","184","2284","1027","1"
"957","iwaszkiewicz_panny","1932","18255","14","532","236","11"
"958","mostowicz_kariera","1932","81566","70","2513","1143","16"
"959","dabrowska_nocednie3","1933","178184","445","6116","2501","1"
"960","dabrowska_nocednie3","1933","164155","445","6116","2501","1"
"961","kuncewiczowa_ksiezyce","1933","21675","40","529","120","0"
"962","gojawiczynska_ziemia","1934","37394","26","977","160","75"
"963","iwaszkiewicz_czerwone","1934","106029","118","2968","780","70"
"964","zarzycka_wiatr","1934","48095","48","979","458","1"
"965","zarzycka_wiatr","1934","44316","48","978","458","1"
"966","gojawiczynska_dziewczeta","1935","73700","26","2084","553","77"
"967","kossak_bog","1935","90493","112","2096","760","15"
"968","nalkowska_granica","1935","78618","25","2076","1092","4"
"969","nalkowska_granica","1935","72650","25","2076","1092","4"
"970","iwaszkiewicz_mlyn","1936","21996","39","674","209","2"
"971","kuncewiczowa_cudzoziemka","1936","28411","32","711","204","0"
"972","kuncewiczowa_cudzoziemka","1936","24638","29","655","195","0"
"973","mostowicz_murek","1936","86382","69","2532","1022","15"
"974","swietochowski_twinko","1936","37475","77","974","379","1"
"975","berent_diogenes","1937","31184","44","753","186","6"
"976","gojawiczynska_jablon","1937","111216","107","3159","955","23"
"977","gojawiczynska_jablon","1937","101238","107","3159","955","23"
"978","kossak_oreza","1937","105083","101","2833","1076","28"
"979","makuszynski_basie","1937","43015","137","1052","490","3"
"980","Dolega_Mostowicz_Profesor","1938","95113","67","3097","1622","17"
"981","mostowicz_hanki","1939","95506","41","2724","1955","6"
"982","makuszynski_szalenstwa","1940","62305","128","1565","884","6"
"983","makuszynski_szalenstwa","1940","57706","128","1565","883","6"
"984","Fiedler_Dziekuje","1944","36821","34","989","268","0"
"985","Dygat_Jezioro","1946","70298","35","2383","897","39"
"986","Borowski_Pozegnanie","1947","7576","36","236","25","1"
"987","Andrzejewski_Popiol","1948","69159","135","2654","569","1"
"988","Dobraczynski_Swiety","1949","90778","150","2897","918","26"
"989","Czeszko_Pokolenie","1951","61668","20","1505","484","12"
"990","Rudnicka_Uczniowie","1951","50731","59","1796","346","0"
"991","Kossak_Przymierze","1952","106144","222","2654","905","178"
"992","Newerly_Pamiatka","1952","111934","238","3198","1051","3"
"993","Niziurski_Ksiega","1954","100789","78","3888","1330","5"
"994","Milosz_Dolina","1955","17736","10","721","211","0"
"995","Szczepanski_Polska","1955","76700","80","2561","464","2"
"996","Bratny_Kolumbowie","1957","159654","249","4428","1369","12"
"997","Szklarski_Tomek","1957","63613","32","2174","576","25"
"998","Zeydler-Zborowski_Czarny","1958","41358","30","1341","597","4"
"999","Mach_Zycie","1959","7244","4","252","53","0"
"1000","Breza_Urzad","1960","65357","109","2084","1073","2"
"1001","Kowalewski_Czarne","1961","37477","1","1320","553","0"
"1002","Iredynski_Dzien","1962","54532","47","1613","773","79"
"1003","Zbych_Stawka","1967","103706","55","2783","1491","12"
"1004","Minkowski_Szalenstwo","1972","42037","8","1316","559","0"
"1005","Konwicki_Kronika","1974","13612","7","366","89","2"
"1006","Nowacka_Moze","1976","44482","26","1346","676","7"
"1007","Boglar_nieGlaskac","1978","21411","12","703","140","3"
"1008","Krzyszton_Obled","1980","24097","25","823","249","2"
"1009","Jozefacka_lotnica","1984","56641","33","2528","684","2"
"1010","Kuriata_Spowiedz","1985","13412","4","392","239","5"
"1011","Skrzyposzek_Wolna","1985","133295","33","4001","1999","69"
"1012","Tomaszewska_Pan","1986","13432","13","414","130","0"
"1013","Borowa_Dominika","1988","49445","8","1296","562","0"
"1014","Bielecki_Dziewczyna","1997","36141","9","1089","542","3"
"1015","Glebski_Kuracja","1998","38563","11","1196","549","2"
"1016","Nowacka_As","1998","33109","29","1180","448","1"
"1017","Bukowski_Wyslannik","1999","42056","6","1272","361","0"
"1018","Nowakowski_Gdzie","2007","37104","14","1296","84","0"
"1019","Kaszynski_Skarb","2008","84217","16","3006","1071","2"
"1020","Siarkiewicz_Kuznia","2008","69810","16","2183","973","0"
"1021","Rakusa_Zona","2010","49662","12","1400","714","0"
